STORE,CITY,STATE,ZIP
6400,MABELVALE           ,AR,72103
6402,ATLANTA             ,GA,30346
6403,STRONGSVILLE        ,OH,44136
6404,COLUMBIA            ,SC,29212
6502,ATLANTA             ,GA,30363
6503,BEACHWOOD           ,OH,44122
6604,GREENVILLE          ,SC,29607
6700,FORT WORTH          ,TX,76137
6703,NORTH OLMSTED       ,OH,44070
6704,SPARTANBURG         ,SC,29301
6803,FAIRVIEW PARK       ,OH,44126
6804,COLUMBIA            ,SC,29223
6900,GILBERT             ,AZ,85233
6902,MACON               ,GA,31206
6903,ELYRIA              ,OH,44035
6904,WILMINGTON          ,NC,28403
7002,TUSCALOOSA          ,AL,35405
7003,ASHTABULA           ,OH,44004
7004,NORFOLK             ,VA,23510
7007,THE WOODLANDS       ,TX,77380
7100,FT WORTH            ,TX,76137
7102,MONTGOMERY          ,AL,36117
7103,AKRON               ,OH,44333
7104,VIRGINIA BEACH      ,VA,23452
7107,HOUSTON             ,TX,77070
7202,MONTGOMERY          ,AL,36117
7203,AKRON               ,OH,44322
7204,CHESAPEAKE          ,VA,23320
7207,HOUSTON             ,TX,77060
7300,OLATHE              ,KS,66062
7302,AUBURN              ,AL,36830
7303,CANTON              ,OH,44718
7304,CHESAPEAKE          ,VA,23321
7307,HOUSTON             ,TX,77082
7402,DOTHAN              ,AL,36303
7403,BOARDMAN            ,OH,44512
7404,NEWPORT NEWS        ,VA,23602
7407,HOUSTON             ,TX,77024
7500,LOUISVILLE          ,KY,40299
7502,COLUMBUS            ,GA,31909
7503,NILES               ,OH,44446
7507,HOUSTON             ,TX,77056
7567,HOUSTON             ,TX,77055
7600,SALISBURY           ,NC,28146
7602,ALBANY              ,GA,31707
7603,TOLEDO              ,OH,43623
7604,RICHMOND            ,VA,23233
7617,HOUSTON             ,TX,77036
7700,FT. WORTH           ,TX,76137
7702,SAVANNAH            ,GA,31419
7703,TOLEDO              ,OH,43614
7704,RICHMOND            ,VA,23235
7707,SUGAR LAND          ,TX,77479
7800,FT WORTH            ,TX,76137
7804,GLEN ALLEN          ,VA,23060
7807,PASADENA            ,TX,77506
7813,TOLEDO              ,OH,43612
7900,OLATHE              ,KS,66062
7902,OXFORD              ,AL,36203
7903,TOLEDO              ,OH,43606
7904,RICHMOND            ,VA,23235
7907,FRIENDSWOOD         ,TX,77546
8002,BATON ROUGE         ,LA,70815
8004,COLONIAL HEIGHTS    ,VA,23834
8006,LITTLE ROCK         ,AR,72201
8007,HUMBLE              ,TX,77338
8102,LAFAYETTE           ,LA,70503
8104,TULSA               ,OK,74135
8106,LITTLE ROCK         ,AR,72201
8109,LITTLETON           ,CO,80124
8202,HOUMA               ,LA,70364
8204,TULSA               ,OK,74135
8206,LITTLE ROCK         ,AR,72201
8209,AURORA              ,CO,80012
8302,KENNER              ,LA,70065
8304,TULSA               ,OK,74134
8306,LITTLE ROCK         ,AR,72201
8309,CENTENNIAL          ,CO,80122
8402,METAIRIE            ,LA,70002
8403,PADUCAH             ,KY,42001
8404,TULSA               ,OK,74133
8406,LITTLE ROCK         ,AR,72201
8407,LAKE JACKSON        ,TX,77566
8409,LITTLETON           ,CO,80123
8503,BOWLING GREEN       ,KY,42104
8504,BARTLESVILLE        ,OK,74006
8506,LITTLE ROCK         ,AR,72201
8507,TEXAS CITY          ,TX,77591
8509,AURORA              ,CO,80021
8512,MARREOR             ,LA,70072
8519,LAKEWOOD            ,CO,80226
8602,GRETNA              ,LA,70053
8603,LEXINGTON           ,KY,40502
8604,MUSKOGEE            ,OK,74401
8607,BEAUMONT            ,TX,77706
8609,WESTMINSTER         ,CO,80030
8702,SLIDELL             ,LA,70460
8703,LEXINGTON           ,KY,40503
8706,LITTLE ROCK         ,AR,72201
8707,PORT ARTHUR         ,TX,77642
8709,BROOMFIELD          ,CO,80021
8802,HAMMOND             ,LA,70403
8803,LEXINGTON           ,KY,40504
8808,LITTLE ROCK         ,AR,72201
8902,HATTIESBURG         ,MS,39402
8906,LITTLE ROCK         ,AR,72201
9000,GILBERT             ,AZ,85233
9002,NEW ORLEANS         ,LA,70127
9100,XXXXXXXXXXXXXXXXXXXX,TX,99999
9103,LOUISVILLE          ,KY,40207
9104,ENID                ,OK,73703
9106,LOS ANGELES         ,CA,90079
9112,BATON ROUGE         ,LA,70806
9202,MERIDIAN            ,MS,39301
9204,OKLAHOMA CITY       ,OK,73134
9206,ARLINGTON           ,TX,76011
9209,PUEBLO              ,CO,81008
9302,BATON ROUGE         ,LA,70836
9303,LOUISVILLE          ,KY,40216
9304,OKLAHOMA CITY       ,OK,73118
9306,ARLINGTON           ,TX,76011
9309,COLORADO SPRINGS    ,CO,80909
9402,LAKE CHARLES        ,LA,70601
9403,LOUISVILLE          ,KY,40202
9404,OKLAHOMA CITY       ,OK,73149
9409,COLORADO SPRINGS    ,CO,80920
9503,CLARKSVILLE         ,IN,47129
9504,NORMAN              ,OK,73072
9506,NEW YORK            ,NY,10036
9512,BATON ROUGE         ,LA,70802
9603,LOUISVILLE          ,KY,40219
9604,MIDWEST CITY        ,OK,73110
9609,LONGMONT            ,CO,80501
9700,TEMPE               ,AZ,85281
9704,SHAWNEE             ,OK,74804
9706,NASHVILLE           ,TN,37207
9708,BATON ROUGE         ,LA,70802
9709,GREELEY             ,CO,80631
9800,LITTLE ROCK         ,AR,72201
9804,LAWTON              ,OK,73501
9806,MABELVALE           ,AR,72103
9808,GILBERT             ,AZ,85233
9812,METAIRIE            ,LA,70006
9900,LITTLE ROCK         ,AR,72201
9906,LITTLE ROCK         ,AR,72201
9909,CHEYENNE            ,WY,82009
